source_file,benchmark,size,policy,metric,reason,evidence_report,exclusion_type
results/phaseB/phaseB_timing.csv,GraphBFS,23,p4,wall_time,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
results/phaseB/phaseB_telemetry.csv,GraphBFS,23,p4,hit_rate,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
results/summary/cost_benefit.md,GraphBFS,23,p4,net_benefit_ns,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
results/phaseB/phaseB_timing.csv,SGEMM,24000,p4,wall_time,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
results/phaseB/phaseB_telemetry.csv,SGEMM,24000,p4,hit_rate,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
results/summary/cost_benefit.md,SGEMM,24000,p4,net_benefit_ns,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
results/phaseB/phaseB_timing.csv,STREAM,268435456,p4,wall_time,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
results/phaseB/phaseB_telemetry.csv,STREAM,268435456,p4,hit_rate,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
results/summary/cost_benefit.md,STREAM,268435456,p4,net_benefit_ns,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
results/phaseB/phaseB_timing.csv,Stencil,24000,p4,wall_time,"Oracle cursor desync: specasync_oracle_next_addr() was consulted once per service batch (advancing the cursor by 1) while the fault trace was recorded once per demand fault, so a batch coalescing k faults consumed k trace entries but advanced the cursor by 1 -- after the first multi-fault batch every oracle prediction points at an already-faulted page (permanent desync). Compounded by no ASLR control (no setarch -R), so cudaMallocManaged's re-randomized VA base broke absolute-VA trace replay alignment even when the cursor was right. Fixed by specasync_oracle_next_addr_n(consumed) + setarch -R for collect/replay.",results/phaseB1/GATE_B_diagnosis.md; driver/PIPELINE_FIXES.md; results/phaseB1/PIPELINE_VALIDATION.md; results/phaseB/gate_reports/gate4_oracle.md,demonstrated
